store_id,dept_id,rmsse,params
CA_2,HOUSEHOLD_1,0.31589371920190584,"{'changepoint_range': 0.7, 'changepoint_prior_scale': 0.009271860003794551, 'holidays_prior_scale': 12.764322279915666, 'seasonality_mode': 'multiplicative', 'yearly_order': 1, 'monthly_order': 14, 'weekly_order': 11, 'yearly_prior_scale': 2.2736862498271813, 'monthly_prior_scale': 0.3598542980154891, 'weekly_prior_scale': 3.1392215193757234, 'snap_mode': 'multiplicative', 'price_mode': 'additive', 'dom_mode': 'additive'}"
CA_2,HOUSEHOLD_2,0.5430767885496719,"{'changepoint_range': 0.7, 'changepoint_prior_scale': 0.4548581886573945, 'holidays_prior_scale': 6.606123264453543, 'seasonality_mode': 'multiplicative', 'yearly_order': 2, 'monthly_order': 20, 'weekly_order': 16, 'yearly_prior_scale': 0.2764149100174765, 'monthly_prior_scale': 0.19303344322617863, 'weekly_prior_scale': 0.9852326949902019, 'snap_mode': 'additive', 'price_mode': 'additive', 'dom_mode': 'multiplicative'}"
CA_3,FOODS_1,0.779828496793739,"{'changepoint_range': 0.85, 'changepoint_prior_scale': 0.0010300938174225241, 'holidays_prior_scale': 2.741957514954457, 'seasonality_mode': 'multiplicative', 'yearly_order': 1, 'monthly_order': 3, 'weekly_order': 6, 'yearly_prior_scale': 2.1497292578545424, 'monthly_prior_scale': 0.5825848285780277, 'weekly_prior_scale': 5.8292294261581015, 'snap_mode': 'multiplicative', 'price_mode': 'multiplicative', 'dom_mode': 'multiplicative'}"
CA_3,FOODS_2,0.435120996691459,"{'changepoint_range': 0.7, 'changepoint_prior_scale': 0.18613883652761543, 'holidays_prior_scale': 14.628386895994124, 'seasonality_mode': 'multiplicative', 'yearly_order': 20, 'monthly_order': 1, 'weekly_order': 15, 'yearly_prior_scale': 3.970507835104394, 'monthly_prior_scale': 6.5553528273977335, 'weekly_prior_scale': 0.4211095180084453, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'additive'}"
CA_3,FOODS_3,0.4026551550792422,"{'changepoint_range': 1.0, 'changepoint_prior_scale': 0.0043299870009536326, 'holidays_prior_scale': 0.3472747359293374, 'seasonality_mode': 'additive', 'yearly_order': 5, 'monthly_order': 20, 'weekly_order': 20, 'yearly_prior_scale': 11.195155421629877, 'monthly_prior_scale': 19.50884173477747, 'weekly_prior_scale': 0.39929910059643403, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'multiplicative'}"
CA_3,HOBBIES_1,0.4040494018374223,"{'changepoint_range': 1.0, 'changepoint_prior_scale': 0.986311994538076, 'holidays_prior_scale': 1.2290419381257645, 'seasonality_mode': 'multiplicative', 'yearly_order': 8, 'monthly_order': 13, 'weekly_order': 18, 'yearly_prior_scale': 0.8203834558517822, 'monthly_prior_scale': 5.096299889775906, 'weekly_prior_scale': 6.779476168295926, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'additive'}"
CA_3,HOBBIES_2,1.1691293982835846,"{'changepoint_range': 0.7, 'changepoint_prior_scale': 0.006288138383126075, 'holidays_prior_scale': 0.8347833329416289, 'seasonality_mode': 'multiplicative', 'yearly_order': 2, 'monthly_order': 13, 'weekly_order': 14, 'yearly_prior_scale': 0.2762291907900808, 'monthly_prior_scale': 9.072434079940264, 'weekly_prior_scale': 19.340035853704652, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'additive'}"
CA_3,HOUSEHOLD_1,0.4719817988379996,"{'changepoint_range': 0.95, 'changepoint_prior_scale': 0.012068760376123987, 'holidays_prior_scale': 7.715806667525594, 'seasonality_mode': 'additive', 'yearly_order': 4, 'monthly_order': 12, 'weekly_order': 3, 'yearly_prior_scale': 0.6487942706167142, 'monthly_prior_scale': 1.9472554321569564, 'weekly_prior_scale': 2.0778086172256716, 'snap_mode': 'multiplicative', 'price_mode': 'additive', 'dom_mode': 'additive'}"
CA_3,HOUSEHOLD_2,0.7550424077801029,"{'changepoint_range': 1.0, 'changepoint_prior_scale': 0.0015821439902446676, 'holidays_prior_scale': 2.254399285938975, 'seasonality_mode': 'multiplicative', 'yearly_order': 1, 'monthly_order': 1, 'weekly_order': 8, 'yearly_prior_scale': 4.883320484362761, 'monthly_prior_scale': 3.518110340886339, 'weekly_prior_scale': 14.462359140085134, 'snap_mode': 'multiplicative', 'price_mode': 'multiplicative', 'dom_mode': 'additive'}"
CA_4,FOODS_1,0.9594150962753282,"{'changepoint_range': 1.0, 'changepoint_prior_scale': 0.0010438302055503623, 'holidays_prior_scale': 0.8045714482652314, 'seasonality_mode': 'additive', 'yearly_order': 3, 'monthly_order': 1, 'weekly_order': 14, 'yearly_prior_scale': 5.345556407514568, 'monthly_prior_scale': 0.24270674690235644, 'weekly_prior_scale': 2.20606291461389, 'snap_mode': 'multiplicative', 'price_mode': 'multiplicative', 'dom_mode': 'multiplicative'}"
